"","hierarchy_level1","hierarchy_level2","week","y1","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
"32","A4","2","2012-05-20",9.72294259187217,4.55273176393525,9.22745206820395,0,0,0,0,3.72856246392905,3.63617428302944,0.915877516339224,0,0.433291260469556,0.0626333014187782,0
"33","B1","2","2012-06-24",6.12061181189398,1.47311800640056,4.88732147791788,0,0,0,0,4.45872454625215,4.34045527016796,0.955877516339224,0,0.933291260469556,0.812633301418778,0
"34","A4","2","2012-06-24",9.49490504641587,4.65117183674851,8.91226414281053,0,0,0,0,3.69912693182692,3.70965792495766,0.955877516339224,0,0.583291260469556,0.822633301418778,0
"35","B1","2","2012-10-28",6.87545256145927,3.34492018330215,6.41900414078604,0,0,0,0,4.20673603638185,4.09666877530148,0.915877516339224,0,0.183291260469556,0.0626333014187782,0
"36","A4","2","2012-12-23",9.36745647311803,4.40431175881698,8.889087494979,0,0,1,0,3.65601516318067,3.64675273307756,0.845877516339224,0.632751247135877,0.643291260469556,0.0626333014187782,0
"37","B1","2","2012-07-29",6.46226540725719,2.38940873827472,5.26439758276336,1,0,0,0,4.4375373130327,4.25054502575482,0.725877516339224,0,0.503291260469556,0.892633301418778,0
"38","A4","2","2013-03-10",9.49228675428981,4.51764044412398,8.85790140990517,0,0,0,0,3.42994335208738,3.98609994083844,0.925877516339224,0.482751247135877,0.423291260469556,0.0626333014187782,0
"39","B1","2","2011-12-25",7.26887969100795,3.26487747562862,6.34412686385354,0,0,1,0,2.89387511113378,4.47155009150139,0.305877516339224,0,0.143291260469556,0.0626333014187782,0
"40","A4","2","2011-12-11",9.4011128273614,4.33531888733003,8.99719371436253,0,0,0,0,3.7436761017391,3.41811797328748,0.875877516339224,0,0.563291260469556,0.0626333014187782,0
"41","B1","2","2013-07-28",6.42004277683484,2.28404822261689,6.52386948436146,1,0,0,0,4.24011298805299,4.38882849280478,0.955877516339224,0.052751247135877,0.173291260469556,0.0626333014187782,0
"42","A4","2","2012-01-08",9.35536098591847,4.2764783873071,8.49885813864826,0,0,0,0,3.71615807284521,2.51316488673901,0.625877516339224,0.732751247135877,0.513291260469556,0.542633301418778,0
"43","B1","2","2012-07-22",6.69620320370228,2.38940873827472,5.45454186523852,1,0,0,0,4.01288501989656,4.24387874981914,0.915877516339224,0,0.533291260469556,0.912633301418778,0
"44","A4","2","2013-09-29",9.03177600217555,3.95802465618856,8.07676063049095,0,0,0,0,3.4062033647843,3.41882690420797,0.925877516339224,0.612751247135877,0.603291260469556,0.0626333014187782,0
"45","B1","2","2013-01-13",6.56296390980921,3.41902815545587,5.59185398070295,0,0,0,0,3.93665495300704,3.59628723208198,0.855877516339224,0.822751247135877,0.243291260469556,1,0
"46","A4","2","2013-02-17",9.09984508606794,4.14726665582709,8.53748390879936,0,0,0,0,3.64188065224577,3.8459073838012,0.825877516339224,0.302751247135877,0.593291260469556,0.552633301418778,0
"47","B1","2","2012-04-22",5.72958738794061,2.28404822261689,5.26439758276336,0,0,0,0,4.16168130082944,4.76967566688984,0.915877516339224,0,0.203291260469556,0.0626333014187782,0
"48","A4","2","2013-05-19",9.77452331520975,4.46885027995455,8.39074469626903,0,0,0,0,3.55949567546015,3.55876003647503,0.955877516339224,0.612751247135877,0.713291260469556,0.0626333014187782,0
"49","A4","2","2013-09-15",9.34195731187523,4.018649278005,8.89991491891206,0,0,0,0,3.58115717224132,3.70393649895588,0.955877516339224,0.702751247135877,0.623291260469556,0.0626333014187782,0
"50","A4","2","2012-02-05",9.42756511193381,4.51764044412398,8.36726889417857,0,0,0,0,3.76172649448848,4.01596497026835,0.845877516339224,0,0.613291260469556,0.0626333014187782,0
"51","A4","2","2013-10-27",9.85576745026546,3.69774155792489,7.93944851502652,0,0,0,0,3.47766232876645,3.76745168299115,0.925877516339224,0.562751247135877,0.753291260469556,0.0626333014187782,0
"52","A4","2","2013-02-10",9.07039533518137,3.95802465618856,8.72996985961165,0,0,0,0,3.73109731953224,3.83366854770664,0.885877516339224,0,0.713291260469556,1,0
